episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
59.0,-5.0,29.848484848484848,30.151515151515152,33,0,1000,32,1000,False,33,1,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-25-51,1705947951,1.803938388824463,1.803938388824463,22860,shossain-Legion-5,10.226.80.58,1.803938388824463,32,1,"[29.0, 12.0, 59.0, 25.0, 28.0, 37.0, 40.0, 46.0, 32.0, 29.0, -5.0, 37.0, 20.0, 34.0, 27.0, 28.0, 14.0, 34.0, 35.0, 10.0, 29.0, 24.0, 33.0, 18.0, 9.0, 41.0, 31.0, 25.0, 33.0, 34.0, 46.0, 37.0, 54.0]","[15, 32, 29, 30, 27, 29, 26, 31, 23, 37, 60, 29, 46, 10, 28, 38, 41, 21, 20, 45, 26, 31, 33, 37, 46, 25, 35, 30, 22, 21, 31, 29, 12]",0.08929478419529689,0.9444388714465467,0.03935669090126183,0.47868781990104625,0.0,0.067,479349.029,107.768,296.935,1000,1000,32,32,32,1000,1,9.233333333333333,53.06666666666666,"[  1.5615436   2.9073987  -7.809306    1.3568288   1.7694968   2.0715852
   4.701118    3.2461743   2.5389936   1.5728829   4.649625    1.3568288
   2.6856427   3.1463392  -7.812412    1.7694968  -9.359038    2.4273152
   1.8428214   2.8059072   3.9346998   1.5533925  -9.846166    4.701118
   4.701118   -7.2132277 -10.292848    2.106785    4.5967436   5.007973
   4.461968    3.7759185]",0.0005000000237487257,-0.34520495,-1.4627192,0.10515261,0.77864736
59.0,-16.0,29.92753623188406,28.73913043478261,36,0,2000,32,2000,False,69,2,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-25-54,1705947954,2.8680522441864014,4.671990633010864,22860,shossain-Legion-5,10.226.80.58,4.671990633010864,64,2,"[29.0, 12.0, 59.0, 25.0, 28.0, 37.0, 40.0, 46.0, 32.0, 29.0, -5.0, 37.0, 20.0, 34.0, 27.0, 28.0, 14.0, 34.0, 35.0, 10.0, 29.0, 24.0, 33.0, 18.0, 9.0, 41.0, 31.0, 25.0, 33.0, 34.0, 46.0, 37.0, 54.0, 36.0, 33.0, 35.0, 40.0, 33.0, 41.0, 34.0, 26.0, 40.0, 34.0, 13.0, 11.0, 47.0, 25.0, 35.0, 44.0, 27.0, 37.0, 26.0, 26.0, 26.0, 42.0, -16.0, 17.0, 48.0, 49.0, 32.0, 33.0, 42.0, 17.0, 28.0, 23.0, 31.0, 18.0, 25.0, 22.0]","[15, 32, 29, 30, 27, 29, 26, 31, 23, 37, 60, 29, 46, 10, 28, 38, 41, 21, 20, 45, 26, 31, 33, 37, 46, 25, 35, 30, 22, 21, 31, 29, 12, 41, 22, 31, 15, 22, 25, 21, 18, 15, 21, 31, 44, 19, 19, 20, 22, 28, 18, 40, 29, 29, 13, 60, 38, 18, 17, 23, 22, 13, 49, 38, 32, 35, 37, 30, 33]",0.08984112373216041,0.9406184092247308,0.03946088415174712,0.4803105620695964,0.0,0.065,492722.937,2.699,11854.7,2000,2000,8032,32,8032,1504,2,10.175,53.150000000000006,"[-10.177184   -10.235399     2.6153557    2.8563793    0.75487566
 -10.1162815    0.50149214   0.7039096  -10.176699     0.41278547
  -7.148328     0.69434154  -9.987087     0.21207827   0.75487566
 -10.214407   -10.214407     2.6153557    2.3751614  -10.214407
   0.5579014   -0.05107599 -10.209718     1.0193318    0.85548884
 -10.214407     0.3596576  -10.38026      0.25043565   0.11837935
   0.9451624    1.0193318 ]",0.0005000000237487257,-0.04168846,-1.0438094,2.844408,-3.1161675
54.0,-16.0,30.91,28.16,37,0,3000,32,3000,False,106,3,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-25-57,1705947957,2.89790678024292,7.569897413253784,22860,shossain-Legion-5,10.226.80.58,7.569897413253784,96,3,"[40.0, 46.0, 32.0, 29.0, -5.0, 37.0, 20.0, 34.0, 27.0, 28.0, 14.0, 34.0, 35.0, 10.0, 29.0, 24.0, 33.0, 18.0, 9.0, 41.0, 31.0, 25.0, 33.0, 34.0, 46.0, 37.0, 54.0, 36.0, 33.0, 35.0, 40.0, 33.0, 41.0, 34.0, 26.0, 40.0, 34.0, 13.0, 11.0, 47.0, 25.0, 35.0, 44.0, 27.0, 37.0, 26.0, 26.0, 26.0, 42.0, -16.0, 17.0, 48.0, 49.0, 32.0, 33.0, 42.0, 17.0, 28.0, 23.0, 31.0, 18.0, 25.0, 22.0, 25.0, 37.0, 20.0, 23.0, 43.0, 39.0, 20.0, 45.0, 25.0, 41.0, 43.0, 53.0, 24.0, 3.0, 11.0, 6.0, 15.0, 43.0, 48.0, 28.0, 30.0, 31.0, 38.0, 41.0, 24.0, 32.0, 19.0, 44.0, 39.0, 42.0, 33.0, 46.0, 21.0, 52.0, 45.0, 51.0, 36.0]","[26, 31, 23, 37, 60, 29, 46, 10, 28, 38, 41, 21, 20, 45, 26, 31, 33, 37, 46, 25, 35, 30, 22, 21, 31, 29, 12, 41, 22, 31, 15, 22, 25, 21, 18, 15, 21, 31, 44, 19, 19, 20, 22, 28, 18, 40, 29, 29, 13, 60, 38, 18, 17, 23, 22, 13, 49, 38, 32, 35, 37, 30, 33, 41, 29, 35, 32, 12, 27, 35, 21, 30, 14, 23, 24, 31, 52, 55, 38, 51, 12, 18, 16, 36, 24, 28, 14, 42, 23, 25, 22, 16, 13, 22, 20, 45, 25, 21, 15, 8]",0.09045472968215368,0.9380036199980265,0.039630503942231506,0.48355855555856053,0.0,0.066,486648.76,2.615,12237.88,3000,3000,16032,32,16032,2512,4,10.100000000000001,53.150000000000006,"[-10.023503     1.864742    -9.973905     0.5080589  -10.404532
 -10.018317   -10.227629     0.8934813    0.489247   -10.044374
  -7.8070307    0.23439002 -10.377274   -10.061334    -9.824769
   1.4518214    0.79530066   2.2758148  -10.044374    -9.706891
 -10.128976     0.2723896  -10.044374   -10.133473     0.23439002
   0.38447142   0.8701662   -9.968389     0.7057815    0.3470505
   0.48957038   0.57378215]",0.0005000000237487257,-0.081840865,-0.869419,2.625409,-4.574959
57.0,-16.0,33.35,26.82,39,0,4000,32,4000,False,145,4,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-00,1705947960,2.957597255706787,10.527494668960571,22860,shossain-Legion-5,10.226.80.58,10.527494668960571,128,4,"[47.0, 25.0, 35.0, 44.0, 27.0, 37.0, 26.0, 26.0, 26.0, 42.0, -16.0, 17.0, 48.0, 49.0, 32.0, 33.0, 42.0, 17.0, 28.0, 23.0, 31.0, 18.0, 25.0, 22.0, 25.0, 37.0, 20.0, 23.0, 43.0, 39.0, 20.0, 45.0, 25.0, 41.0, 43.0, 53.0, 24.0, 3.0, 11.0, 6.0, 15.0, 43.0, 48.0, 28.0, 30.0, 31.0, 38.0, 41.0, 24.0, 32.0, 19.0, 44.0, 39.0, 42.0, 33.0, 46.0, 21.0, 52.0, 45.0, 51.0, 36.0, 32.0, 37.0, 27.0, 39.0, 50.0, 43.0, 19.0, 52.0, 31.0, 11.0, 46.0, 52.0, 43.0, 33.0, 36.0, 39.0, 31.0, 49.0, 37.0, 31.0, 55.0, 30.0, 34.0, 36.0, 49.0, 37.0, 43.0, -16.0, 57.0, 29.0, 41.0, 39.0, 29.0, 30.0, 38.0, 28.0, 45.0, 31.0, 42.0]","[19, 19, 20, 22, 28, 18, 40, 29, 29, 13, 60, 38, 18, 17, 23, 22, 13, 49, 38, 32, 35, 37, 30, 33, 41, 29, 35, 32, 12, 27, 35, 21, 30, 14, 23, 24, 31, 52, 55, 38, 51, 12, 18, 16, 36, 24, 28, 14, 42, 23, 25, 22, 16, 13, 22, 20, 45, 25, 21, 15, 8, 23, 18, 39, 16, 16, 34, 36, 14, 35, 44, 9, 14, 34, 33, 19, 16, 24, 17, 18, 24, 22, 36, 32, 30, 17, 18, 23, 60, 20, 37, 14, 16, 26, 36, 17, 16, 21, 35, 46]",0.0914807900158154,0.9362630106119547,0.039966346351381334,0.4896020353666885,0.0,0.066,482797.583,2.745,11659.042,4000,4000,24032,32,24032,3520,6,10.64,53.2,"[  1.4868867   -9.868096    -9.950324    -9.847073    -9.470637
   1.2365007    0.8386497    1.2365007   -0.01955375  -8.311665
   0.89125705  -9.630533     0.81170595 -10.1692705   -9.243842
   1.7227647  -10.1692705   -8.430328     1.4868867   -9.950324
   1.7227647    0.69100565  -9.931756   -10.272398    -9.545852
  -1.0643061   -0.65578526 -10.353026    -0.03016073   1.2365007
  -9.950324    -9.950324  ]",0.0005000000237487257,0.31995445,-1.4838022,2.6646695,-4.7954197
57.0,-27.0,34.4,25.88,38,0,5000,32,5000,False,183,5,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-03,1705947963,2.928956985473633,13.456451654434204,22860,shossain-Legion-5,10.226.80.58,13.456451654434204,160,5,"[11.0, 6.0, 15.0, 43.0, 48.0, 28.0, 30.0, 31.0, 38.0, 41.0, 24.0, 32.0, 19.0, 44.0, 39.0, 42.0, 33.0, 46.0, 21.0, 52.0, 45.0, 51.0, 36.0, 32.0, 37.0, 27.0, 39.0, 50.0, 43.0, 19.0, 52.0, 31.0, 11.0, 46.0, 52.0, 43.0, 33.0, 36.0, 39.0, 31.0, 49.0, 37.0, 31.0, 55.0, 30.0, 34.0, 36.0, 49.0, 37.0, 43.0, -16.0, 57.0, 29.0, 41.0, 39.0, 29.0, 30.0, 38.0, 28.0, 45.0, 31.0, 42.0, 21.0, 41.0, 31.0, 33.0, 39.0, 41.0, 39.0, 46.0, 33.0, 32.0, -27.0, 39.0, 46.0, 44.0, 20.0, 32.0, 41.0, 22.0, 49.0, 42.0, 44.0, 17.0, 26.0, 53.0, 24.0, 49.0, 36.0, 33.0, 48.0, 20.0, 39.0, 39.0, 19.0, 22.0, 47.0, 45.0, 17.0, 8.0]","[55, 38, 51, 12, 18, 16, 36, 24, 28, 14, 42, 23, 25, 22, 16, 13, 22, 20, 45, 25, 21, 15, 8, 23, 18, 39, 16, 16, 34, 36, 14, 35, 44, 9, 14, 34, 33, 19, 16, 24, 17, 18, 24, 22, 36, 32, 30, 17, 18, 23, 60, 20, 37, 14, 16, 26, 36, 17, 16, 21, 35, 46, 45, 14, 24, 22, 16, 14, 16, 9, 11, 23, 60, 27, 9, 33, 24, 23, 25, 33, 17, 13, 11, 38, 40, 24, 42, 39, 19, 22, 18, 35, 16, 16, 47, 44, 19, 10, 38, 58]",0.09214653021597784,0.9363261339279105,0.04020662718051485,0.49528495493285235,0.0,0.064,500252.434,2.78,11511.744,5000,5000,32032,32,32032,4528,8,9.825,53.175,"[ 4.23686594e-01  6.11448288e-03  6.84085429e-01 -8.87437534e+00
 -8.84440041e+00 -1.03640823e+01 -1.02441750e+01 -9.93398666e+00
 -1.03158455e+01  1.91565633e+00  7.17344940e-01  1.08381176e+00
 -8.84440041e+00 -1.02626009e+01  5.45552611e-01 -9.93398666e+00
 -1.00394630e+01 -8.80844116e+00 -1.02441750e+01 -1.00008678e+01
 -9.93398666e+00 -1.00520000e+01  1.29929864e+00 -8.14160728e+00
 -8.87437534e+00  1.50860751e+00 -1.01369467e+01 -8.07276917e+00
 -9.44170189e+00 -9.44170189e+00 -2.05780387e-01 -9.16164780e+00]",0.0005000000237487257,1.070184,-0.705004,2.0912824,-6.3121614
57.0,-60.0,31.93,27.14,34,0,6000,32,6000,False,217,6,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-06,1705947966,2.9118616580963135,16.368313312530518,22860,shossain-Legion-5,10.226.80.58,16.368313312530518,192,6,"[52.0, 43.0, 33.0, 36.0, 39.0, 31.0, 49.0, 37.0, 31.0, 55.0, 30.0, 34.0, 36.0, 49.0, 37.0, 43.0, -16.0, 57.0, 29.0, 41.0, 39.0, 29.0, 30.0, 38.0, 28.0, 45.0, 31.0, 42.0, 21.0, 41.0, 31.0, 33.0, 39.0, 41.0, 39.0, 46.0, 33.0, 32.0, -27.0, 39.0, 46.0, 44.0, 20.0, 32.0, 41.0, 22.0, 49.0, 42.0, 44.0, 17.0, 26.0, 53.0, 24.0, 49.0, 36.0, 33.0, 48.0, 20.0, 39.0, 39.0, 19.0, 22.0, 47.0, 45.0, 17.0, 8.0, 41.0, 7.0, 4.0, 50.0, 31.0, 24.0, 24.0, 23.0, 54.0, 31.0, 30.0, 36.0, -60.0, -5.0, 39.0, 50.0, 7.0, 57.0, 22.0, 30.0, 26.0, 29.0, 27.0, -13.0, 44.0, 22.0, 40.0, 27.0, 39.0, 44.0, 37.0, 40.0, 39.0, 19.0]","[14, 34, 33, 19, 16, 24, 17, 18, 24, 22, 36, 32, 30, 17, 18, 23, 60, 20, 37, 14, 16, 26, 36, 17, 16, 21, 35, 46, 45, 14, 24, 22, 16, 14, 16, 9, 11, 23, 60, 27, 9, 33, 24, 23, 25, 33, 17, 13, 11, 38, 40, 24, 42, 39, 19, 22, 18, 35, 16, 16, 47, 44, 19, 10, 38, 58, 25, 48, 51, 27, 24, 31, 20, 32, 12, 24, 25, 30, 60, 60, 16, 16, 59, 9, 33, 47, 18, 26, 28, 57, 22, 22, 15, 39, 38, 11, 18, 15, 5, 36]",0.09240512492514315,0.9360950582303826,0.040242850052681405,0.49913433444317534,0.0,0.066,484016.329,2.656,12047.837,6000,6000,40032,32,40032,5536,10,8.975,53.22500000000001,"[ -7.8061767    1.7922933    2.0940137   -2.459291     1.5039246
  -8.693354     2.120141   -10.6707115    1.5186433   -9.884975
  -0.8645549   -0.7508874    1.2379241    1.0608158    2.120141
  -9.761121   -10.755781    -0.49406064  -7.8061767   -9.124889
   1.2923086  -10.057687    -6.782641     2.4223092   -4.4781985
  -9.124889    -9.736225    -4.4781985   -0.5389426  -10.702295
  -7.680867     2.120141  ]",0.0005000000237487257,1.9521315,-1.0065762,5.5218015,-3.8552897
57.0,-60.0,29.48,28.16,38,0,7000,32,7000,False,255,7,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-09,1705947969,2.953162431716919,19.321475744247437,22860,shossain-Legion-5,10.226.80.58,19.321475744247437,224,7,"[-27.0, 39.0, 46.0, 44.0, 20.0, 32.0, 41.0, 22.0, 49.0, 42.0, 44.0, 17.0, 26.0, 53.0, 24.0, 49.0, 36.0, 33.0, 48.0, 20.0, 39.0, 39.0, 19.0, 22.0, 47.0, 45.0, 17.0, 8.0, 41.0, 7.0, 4.0, 50.0, 31.0, 24.0, 24.0, 23.0, 54.0, 31.0, 30.0, 36.0, -60.0, -5.0, 39.0, 50.0, 7.0, 57.0, 22.0, 30.0, 26.0, 29.0, 27.0, -13.0, 44.0, 22.0, 40.0, 27.0, 39.0, 44.0, 37.0, 40.0, 39.0, 19.0, -27.0, 13.0, 56.0, 52.0, 44.0, 29.0, 42.0, 52.0, 28.0, 35.0, -1.0, 17.0, 35.0, 15.0, 49.0, 44.0, 42.0, 35.0, -60.0, -27.0, 56.0, 56.0, 19.0, 24.0, 41.0, 27.0, 50.0, 47.0, 12.0, 44.0, 22.0, 26.0, 46.0, 48.0, 31.0, 42.0, 37.0, 38.0]","[60, 27, 9, 33, 24, 23, 25, 33, 17, 13, 11, 38, 40, 24, 42, 39, 19, 22, 18, 35, 16, 16, 47, 44, 19, 10, 38, 58, 25, 48, 51, 27, 24, 31, 20, 32, 12, 24, 25, 30, 60, 60, 16, 16, 59, 9, 33, 47, 18, 26, 28, 57, 22, 22, 15, 39, 38, 11, 18, 15, 5, 36, 60, 31, 10, 25, 22, 37, 24, 14, 38, 20, 45, 27, 20, 40, 6, 22, 24, 9, 60, 60, 10, 21, 36, 31, 25, 28, 5, 8, 54, 11, 33, 29, 9, 7, 35, 24, 29, 28]",0.09251955525804044,0.9352965595563876,0.04017537810811174,0.5018968558090713,0.0,0.063,504388.305,2.753,11621.891,7000,7000,48032,32,48032,6544,12,9.0,53.300000000000004,"[ 7.7870512e-01  1.7931527e-01 -4.1455965e+00 -1.0076005e+01
 -1.0919236e+01  5.0039053e-01  1.6312838e-02 -1.0444900e+01
  1.0756304e+00 -1.3773191e+01  1.0756304e+00  1.7048621e+00
  4.5862246e-01 -1.2852550e+01  1.6861584e+00 -8.6759253e+00
  3.4983420e-01 -2.5261354e+00 -1.0690722e+00 -1.6692675e+01
  9.8570240e-01 -7.7457185e+00 -1.1351842e+01 -9.3202877e+00
 -7.7457185e+00 -9.9146271e-01 -8.0364532e+00  1.4102974e+00
 -1.2852550e+01 -9.3202877e+00 -4.1901398e-01  1.2332107e+00]",0.0005000000237487257,3.6524253,0.79633105,9.008537,-4.6094985
62.0,-60.0,25.14,31.18,25,0,8000,32,8000,False,280,8,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-12,1705947972,2.9642064571380615,22.285682201385498,22860,shossain-Legion-5,10.226.80.58,22.285682201385498,256,8,"[45.0, 17.0, 8.0, 41.0, 7.0, 4.0, 50.0, 31.0, 24.0, 24.0, 23.0, 54.0, 31.0, 30.0, 36.0, -60.0, -5.0, 39.0, 50.0, 7.0, 57.0, 22.0, 30.0, 26.0, 29.0, 27.0, -13.0, 44.0, 22.0, 40.0, 27.0, 39.0, 44.0, 37.0, 40.0, 39.0, 19.0, -27.0, 13.0, 56.0, 52.0, 44.0, 29.0, 42.0, 52.0, 28.0, 35.0, -1.0, 17.0, 35.0, 15.0, 49.0, 44.0, 42.0, 35.0, -60.0, -27.0, 56.0, 56.0, 19.0, 24.0, 41.0, 27.0, 50.0, 47.0, 12.0, 44.0, 22.0, 26.0, 46.0, 48.0, 31.0, 42.0, 37.0, 38.0, 36.0, 53.0, 15.0, 53.0, 62.0, 43.0, 27.0, -5.0, 11.0, 6.0, 22.0, 18.0, 11.0, 48.0, 33.0, -38.0, -1.0, 57.0, 23.0, -38.0, -5.0, -27.0, -27.0, -16.0, 29.0]","[10, 38, 58, 25, 48, 51, 27, 24, 31, 20, 32, 12, 24, 25, 30, 60, 60, 16, 16, 59, 9, 33, 47, 18, 26, 28, 57, 22, 22, 15, 39, 38, 11, 18, 15, 5, 36, 60, 31, 10, 25, 22, 37, 24, 14, 38, 20, 45, 27, 20, 40, 6, 22, 24, 9, 60, 60, 10, 21, 36, 31, 25, 28, 5, 8, 54, 11, 33, 29, 9, 7, 35, 24, 29, 28, 19, 24, 40, 13, 15, 12, 28, 60, 44, 49, 55, 48, 55, 18, 33, 60, 56, 9, 32, 60, 60, 60, 60, 60, 26]",0.09247663151781939,0.9352133903120446,0.04012310286814632,0.5034328396878885,0.0,0.064,500438.956,2.721,11759.559,8000,8000,56032,32,56032,7552,14,8.549999999999999,53.4,"[  0.32926416  -8.883207   -11.008884    -0.5862608  -11.029161
   0.9498131  -14.70781      0.8723886   -9.871803     0.25404072
   1.2887225    0.5705296    0.7521436   -9.871803     0.27076435
  -9.8637       0.69280314 -14.70781      0.25906658  -0.7005458
  -0.50019073   0.34831643 -14.292494     0.9703045    1.2887225
   1.0824463    0.5705296   -9.739646     0.6479778  -11.877157
  -9.8637       0.7521436 ]",0.0005000000237487257,4.648444,0.7226627,10.9703045,-3.9251313
70.0,-60.0,26.35,30.74,33,0,9000,32,9000,False,313,9,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-14,1705947974,2.960434913635254,25.246117115020752,22860,shossain-Legion-5,10.226.80.58,25.246117115020752,288,9,"[37.0, 40.0, 39.0, 19.0, -27.0, 13.0, 56.0, 52.0, 44.0, 29.0, 42.0, 52.0, 28.0, 35.0, -1.0, 17.0, 35.0, 15.0, 49.0, 44.0, 42.0, 35.0, -60.0, -27.0, 56.0, 56.0, 19.0, 24.0, 41.0, 27.0, 50.0, 47.0, 12.0, 44.0, 22.0, 26.0, 46.0, 48.0, 31.0, 42.0, 37.0, 38.0, 36.0, 53.0, 15.0, 53.0, 62.0, 43.0, 27.0, -5.0, 11.0, 6.0, 22.0, 18.0, 11.0, 48.0, 33.0, -38.0, -1.0, 57.0, 23.0, -38.0, -5.0, -27.0, -27.0, -16.0, 29.0, 31.0, 19.0, -16.0, 34.0, 52.0, 16.0, 10.0, 18.0, 27.0, 20.0, 57.0, 34.0, 46.0, 49.0, 60.0, 8.0, 49.0, 51.0, 23.0, 46.0, 44.0, 38.0, -16.0, 39.0, 52.0, 45.0, -16.0, -8.0, 33.0, 50.0, -16.0, 22.0, 70.0]","[18, 15, 5, 36, 60, 31, 10, 25, 22, 37, 24, 14, 38, 20, 45, 27, 20, 40, 6, 22, 24, 9, 60, 60, 10, 21, 36, 31, 25, 28, 5, 8, 54, 11, 33, 29, 9, 7, 35, 24, 29, 28, 19, 24, 40, 13, 15, 12, 28, 60, 44, 49, 55, 48, 55, 18, 33, 60, 56, 9, 32, 60, 60, 60, 60, 60, 26, 24, 36, 60, 54, 14, 50, 56, 37, 39, 46, 9, 32, 20, 6, 6, 47, 6, 15, 32, 9, 11, 17, 60, 5, 14, 21, 60, 52, 33, 16, 60, 33, 7]",0.09245314369270595,0.9357138385540534,0.040097095152612866,0.5050201030333741,0.0,0.066,484890.636,2.434,13147.516,9000,9000,64032,32,64032,8560,16,8.879999999999999,53.35999999999999,"[  1.1591334   -0.6217327    1.5232608    1.209455    -9.699185
 -11.316441     0.65174866 -12.150288   -11.864537     1.789998
   1.789998     1.789998   -13.852658   -17.181368    -2.6662245
  -0.2475071   -8.119289   -17.181368    -9.918227    -1.554032
   0.267725    -7.2681475  -13.6863785  -15.465626     1.0103607
   1.1591334  -10.300559    -0.44194496 -13.110947   -11.477068
 -15.413717   -15.465626  ]",0.0005000000237487257,5.7388887,0.71889067,10.874774,-6.457877
80.0,-60.0,36.4,21.68,63,0,10000,32,10000,False,376,10,default,e77ee31fc5b746f6bb1e79d65d77eb5c,2024-01-22_13-26-17,1705947977,2.9619252681732178,28.20804238319397,22860,shossain-Legion-5,10.226.80.58,28.20804238319397,320,10,"[-27.0, -27.0, -16.0, 29.0, 31.0, 19.0, -16.0, 34.0, 52.0, 16.0, 10.0, 18.0, 27.0, 20.0, 57.0, 34.0, 46.0, 49.0, 60.0, 8.0, 49.0, 51.0, 23.0, 46.0, 44.0, 38.0, -16.0, 39.0, 52.0, 45.0, -16.0, -8.0, 33.0, 50.0, -16.0, 22.0, 70.0, 30.0, -16.0, 15.0, 3.0, 7.0, 40.0, 35.0, 59.0, 50.0, 59.0, 42.0, 8.0, 49.0, 60.0, 39.0, 40.0, 44.0, 49.0, 60.0, 50.0, 50.0, 39.0, 60.0, 50.0, 60.0, 11.0, -60.0, 21.0, 39.0, 39.0, 18.0, 50.0, 50.0, 57.0, 44.0, 50.0, 19.0, 43.0, 60.0, 50.0, 50.0, 50.0, 60.0, 50.0, 60.0, 80.0, 50.0, 60.0, 50.0, 49.0, 60.0, 59.0, 70.0, 18.0, 51.0, 50.0, 50.0, 50.0, 50.0, 50.0, 60.0, 60.0, 50.0]","[60, 60, 60, 26, 24, 36, 60, 54, 14, 50, 56, 37, 39, 46, 9, 32, 20, 6, 6, 47, 6, 15, 32, 9, 11, 17, 60, 5, 14, 21, 60, 52, 33, 16, 60, 33, 7, 25, 60, 40, 52, 59, 37, 31, 7, 5, 7, 24, 58, 6, 6, 5, 4, 11, 6, 6, 5, 5, 5, 6, 5, 6, 33, 60, 34, 5, 16, 48, 5, 5, 9, 11, 5, 36, 23, 6, 5, 5, 5, 6, 5, 6, 8, 5, 6, 5, 6, 6, 7, 7, 59, 15, 5, 5, 5, 5, 5, 6, 6, 5]",0.09264474545950964,0.9357377661210475,0.04001925577999829,0.5084480006819247,0.0,0.064,499321.905,2.582,12391.54,10000,10000,72032,32,72032,9568,18,9.125,53.4,"[  4.432898     2.7723718    0.81495667 -15.89266     -2.2935228
  -4.3080144   -0.94065857   1.8539758   -4.3080144    3.963718
 -14.474798   -14.0481       2.0589488   -7.9832153    4.432898
  -4.3080144  -16.158112     4.432898   -15.89266     -5.144154
  -4.3080144    0.11717415 -14.0481      -1.106647   -10.832159
  -2.8858929  -13.651977   -12.376391   -13.555954   -12.376391
   2.0267344   -8.06261   ]",0.0005000000237487257,7.1098695,1.9455714,12.6501045,-5.376547
