episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
51.0,-16.0,27.166666666666668,32.6,30,0,1000,32,1000,False,30,1,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-42,1705948482,1.7737576961517334,1.7737576961517334,22860,shossain-Legion-5,10.226.80.58,1.7737576961517334,32,1,"[25.0, 33.0, 19.0, 24.0, 41.0, 26.0, 21.0, 31.0, 21.0, 39.0, 30.0, 37.0, -16.0, 45.0, 27.0, 51.0, 25.0, 35.0, 29.0, 33.0, 13.0, 40.0, 30.0, 14.0, 14.0, 33.0, 48.0, -16.0, 22.0, 41.0]","[30, 44, 47, 31, 25, 29, 34, 24, 23, 27, 36, 18, 60, 21, 39, 26, 41, 20, 26, 22, 42, 15, 14, 52, 52, 44, 18, 60, 33, 25]",0.08764157404790036,0.9227151518220548,0.03880387419587249,0.4719880434659333,0.0,0.067,481067.125,109.386,292.543,1000,1000,32,32,32,1000,1,10.366666666666667,56.13333333333333,"[ -1.5254359   -0.76762927  -1.2739555   -5.65308     -5.7348614
  -4.691889    -7.3918934   -9.873161    -3.8383684   -4.9849977
  -3.8383684  -12.0219555   -5.0486803   -1.0200677  -10.408823
  -7.9791365   -5.65308    -10.806583    -8.091578   -11.347806
  -1.2739555    0.12464499  -8.849763    -1.2728944   -0.75071
  -8.091953    -1.4300103   -0.76762927  -6.6935596   -8.091578
  -3.8953218  -10.408823  ]",0.0005000000237487257,-3.655439,-8.761963,-0.19584596,-5.4172783
55.0,-49.0,27.59375,31.015625,34,0,2000,32,2000,False,64,2,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-44,1705948484,2.840857744216919,4.614615440368652,22860,shossain-Legion-5,10.226.80.58,4.614615440368652,64,2,"[25.0, 33.0, 19.0, 24.0, 41.0, 26.0, 21.0, 31.0, 21.0, 39.0, 30.0, 37.0, -16.0, 45.0, 27.0, 51.0, 25.0, 35.0, 29.0, 33.0, 13.0, 40.0, 30.0, 14.0, 14.0, 33.0, 48.0, -16.0, 22.0, 41.0, -49.0, 21.0, 26.0, 55.0, 36.0, 28.0, 48.0, 13.0, 42.0, -5.0, 40.0, 48.0, 33.0, 37.0, 51.0, 46.0, 43.0, 17.0, 29.0, 55.0, 35.0, 43.0, 17.0, 23.0, 26.0, 24.0, 30.0, 20.0, 13.0, 40.0, 19.0, -27.0, 26.0, 48.0]","[30, 44, 47, 31, 25, 29, 34, 24, 23, 27, 36, 18, 60, 21, 39, 26, 41, 20, 26, 22, 42, 15, 14, 52, 52, 44, 18, 60, 33, 25, 60, 34, 29, 11, 19, 27, 18, 31, 13, 60, 15, 29, 22, 29, 15, 20, 23, 38, 37, 11, 20, 23, 38, 32, 29, 42, 36, 35, 31, 26, 36, 60, 40, 18]",0.08829801496109396,0.9209241994787141,0.03894571016205614,0.4741895364139274,0.0,0.064,501936.156,2.784,11494.59,2000,2000,8032,32,8032,1504,2,9.575,56.1,"[ -8.139801   -10.859104     2.6384153   -9.77113    -10.549729
 -10.266454     0.42957497   0.6632104    1.3796533    0.9383839
 -10.266454     0.85693526 -10.454246   -11.167962    -8.431244
   0.71601534 -10.454246   -10.306763     0.51318157  -0.01272178
 -10.352171     0.8872796    1.783567     0.18186307 -10.474168
   0.21292377 -10.549729     0.09743476 -10.575398   -10.105318
   0.8872796  -10.688132  ]",0.0005000000237487257,-1.128972,-2.6551883,0.21773267,-5.0387206
61.0,-49.0,29.45,29.95,36,0,3000,32,3000,False,100,3,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-47,1705948487,2.885364532470703,7.4999799728393555,22860,shossain-Legion-5,10.226.80.58,7.4999799728393555,96,3,"[25.0, 33.0, 19.0, 24.0, 41.0, 26.0, 21.0, 31.0, 21.0, 39.0, 30.0, 37.0, -16.0, 45.0, 27.0, 51.0, 25.0, 35.0, 29.0, 33.0, 13.0, 40.0, 30.0, 14.0, 14.0, 33.0, 48.0, -16.0, 22.0, 41.0, -49.0, 21.0, 26.0, 55.0, 36.0, 28.0, 48.0, 13.0, 42.0, -5.0, 40.0, 48.0, 33.0, 37.0, 51.0, 46.0, 43.0, 17.0, 29.0, 55.0, 35.0, 43.0, 17.0, 23.0, 26.0, 24.0, 30.0, 20.0, 13.0, 40.0, 19.0, -27.0, 26.0, 48.0, 28.0, 33.0, 24.0, 35.0, 44.0, 45.0, 23.0, 25.0, 12.0, 37.0, 37.0, 18.0, 9.0, 37.0, 11.0, 43.0, -16.0, 55.0, 61.0, 30.0, 37.0, 40.0, 23.0, 23.0, 34.0, 41.0, 42.0, 34.0, 60.0, 28.0, 45.0, 27.0, 48.0, 46.0, 29.0, 31.0]","[30, 44, 47, 31, 25, 29, 34, 24, 23, 27, 36, 18, 60, 21, 39, 26, 41, 20, 26, 22, 42, 15, 14, 52, 52, 44, 18, 60, 33, 25, 60, 34, 29, 11, 19, 27, 18, 31, 13, 60, 15, 29, 22, 29, 15, 20, 23, 38, 37, 11, 20, 23, 38, 32, 29, 42, 36, 35, 31, 26, 36, 60, 40, 18, 38, 22, 42, 31, 22, 10, 32, 30, 43, 18, 18, 37, 57, 18, 55, 12, 60, 22, 16, 25, 29, 15, 21, 43, 32, 14, 24, 21, 17, 27, 21, 39, 18, 20, 37, 24]",0.08897583713283481,0.9194733777891031,0.039146750348484784,0.4775072141930974,0.0,0.064,500812.418,2.702,11844.552,3000,3000,16032,32,16032,2512,4,9.725000000000001,56.074999999999996,"[  0.8809591    0.72224915 -10.883987   -10.210856     0.48655385
   0.18455565  -9.96141     -0.19042695   0.9596825  -10.646411
   0.66165495 -10.072974    -0.19042695 -10.7814865  -10.072974
   0.18455565  -0.01183933 -10.224039     0.614016    -1.9430618
 -10.385795   -10.224039     0.69446176 -10.315436     0.93082523
 -10.333745   -10.750716   -10.78814      0.55960107   0.49710488
   0.7360649    0.72224915]",0.0005000000237487257,-0.5754458,-1.9311316,-0.07297376,-4.3485384
61.0,-27.0,32.16,27.57,39,0,4000,32,4000,False,139,4,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-50,1705948490,2.8938822746276855,10.393862247467041,22860,shossain-Legion-5,10.226.80.58,10.393862247467041,128,4,"[-5.0, 40.0, 48.0, 33.0, 37.0, 51.0, 46.0, 43.0, 17.0, 29.0, 55.0, 35.0, 43.0, 17.0, 23.0, 26.0, 24.0, 30.0, 20.0, 13.0, 40.0, 19.0, -27.0, 26.0, 48.0, 28.0, 33.0, 24.0, 35.0, 44.0, 45.0, 23.0, 25.0, 12.0, 37.0, 37.0, 18.0, 9.0, 37.0, 11.0, 43.0, -16.0, 55.0, 61.0, 30.0, 37.0, 40.0, 23.0, 23.0, 34.0, 41.0, 42.0, 34.0, 60.0, 28.0, 45.0, 27.0, 48.0, 46.0, 29.0, 31.0, 19.0, 34.0, 47.0, 29.0, 33.0, 20.0, 61.0, 40.0, 39.0, 49.0, 28.0, 22.0, 41.0, 41.0, 34.0, 38.0, 40.0, 35.0, 40.0, 57.0, 25.0, 24.0, 33.0, 32.0, 28.0, 16.0, 43.0, 44.0, 40.0, 27.0, 12.0, 28.0, 34.0, 30.0, 27.0, 13.0, 35.0, 35.0, 33.0]","[60, 15, 29, 22, 29, 15, 20, 23, 38, 37, 11, 20, 23, 38, 32, 29, 42, 36, 35, 31, 26, 36, 60, 40, 18, 38, 22, 42, 31, 22, 10, 32, 30, 43, 18, 18, 37, 57, 18, 55, 12, 60, 22, 16, 25, 29, 15, 21, 43, 32, 14, 24, 21, 17, 27, 21, 39, 18, 20, 37, 24, 36, 21, 19, 26, 22, 35, 16, 15, 16, 17, 38, 33, 14, 25, 21, 17, 15, 31, 15, 9, 30, 31, 33, 34, 27, 50, 12, 11, 15, 39, 43, 38, 21, 25, 28, 31, 9, 42, 22]",0.09005695162592339,0.9172519794955076,0.039445508223125814,0.48345857985418694,0.0,0.064,499879.806,2.577,12418.713,4000,4000,24032,32,24032,3520,6,10.075,56.025,"[ -9.903097    -9.890528     1.4375844  -10.167329   -10.627955
  -9.591603     0.49055183 -10.194441    -7.8908687    2.6172915
   0.56938654 -10.194441     2.6172915    0.67786837  -0.5103867
  -8.066775    -0.5103867  -10.194441    -8.066775     1.5496296
 -10.627955   -10.555429   -10.167329     1.4375844    2.6172915
 -10.669029    -9.762306   -10.555429    -8.066775   -10.194441
  -7.9570994  -10.627955  ]",0.0005000000237487257,-0.42030177,-2.1210258,1.3627869,-5.968072
61.0,-16.0,35.13,25.15,41,0,5000,32,5000,False,180,5,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-53,1705948493,2.879131555557251,13.272993803024292,22860,shossain-Legion-5,10.226.80.58,13.272993803024292,160,5,"[-16.0, 55.0, 61.0, 30.0, 37.0, 40.0, 23.0, 23.0, 34.0, 41.0, 42.0, 34.0, 60.0, 28.0, 45.0, 27.0, 48.0, 46.0, 29.0, 31.0, 19.0, 34.0, 47.0, 29.0, 33.0, 20.0, 61.0, 40.0, 39.0, 49.0, 28.0, 22.0, 41.0, 41.0, 34.0, 38.0, 40.0, 35.0, 40.0, 57.0, 25.0, 24.0, 33.0, 32.0, 28.0, 16.0, 43.0, 44.0, 40.0, 27.0, 12.0, 28.0, 34.0, 30.0, 27.0, 13.0, 35.0, 35.0, 33.0, 33.0, 37.0, 21.0, 35.0, 48.0, 35.0, 40.0, 42.0, 36.0, 33.0, 36.0, 42.0, 43.0, 42.0, 18.0, 31.0, 45.0, 53.0, 45.0, 22.0, 10.0, 44.0, 43.0, 39.0, 24.0, 18.0, 27.0, 51.0, 56.0, 37.0, 38.0, 29.0, 38.0, 22.0, 50.0, 31.0, 37.0, 45.0, 12.0, 53.0, 48.0]","[60, 22, 16, 25, 29, 15, 21, 43, 32, 14, 24, 21, 17, 27, 21, 39, 18, 20, 37, 24, 36, 21, 19, 26, 22, 35, 16, 15, 16, 17, 38, 33, 14, 25, 21, 17, 15, 31, 15, 9, 30, 31, 33, 34, 27, 50, 12, 11, 15, 39, 43, 38, 21, 25, 28, 31, 9, 42, 22, 33, 29, 34, 31, 7, 20, 15, 35, 8, 22, 19, 13, 34, 24, 37, 24, 10, 24, 21, 44, 45, 11, 23, 16, 31, 59, 39, 15, 10, 18, 28, 26, 17, 33, 16, 24, 18, 21, 43, 24, 7]",0.09073803942182916,0.916671827674954,0.03958262649396193,0.4875145995080112,0.0,0.065,493084.967,2.523,12684.067,5000,5000,32032,32,32032,4528,8,10.025,56.0,"[  0.45008373   1.4131054   -0.7379644  -10.108455     0.45008373
   0.42323494  -9.972469   -10.155219   -11.067101    -0.76397383
   0.3752941   -9.155371   -10.155219     1.3527058    1.4131054
  -9.258947    -9.972469   -10.576974   -11.005436     0.45008373
  -9.318512   -10.958246     0.6693512   -9.972469    -9.639164
   0.4577341  -10.966312   -10.673744   -10.573081    -9.155371
 -10.773421     1.3527058 ]",0.0005000000237487257,-0.9367792,-2.6690762,0.36083627,-5.8172636
57.0,-16.0,33.48,25.92,36,0,6000,32,6000,False,216,6,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-56,1705948496,3.0224597454071045,16.295453548431396,22860,shossain-Legion-5,10.226.80.58,16.295453548431396,192,6,"[40.0, 35.0, 40.0, 57.0, 25.0, 24.0, 33.0, 32.0, 28.0, 16.0, 43.0, 44.0, 40.0, 27.0, 12.0, 28.0, 34.0, 30.0, 27.0, 13.0, 35.0, 35.0, 33.0, 33.0, 37.0, 21.0, 35.0, 48.0, 35.0, 40.0, 42.0, 36.0, 33.0, 36.0, 42.0, 43.0, 42.0, 18.0, 31.0, 45.0, 53.0, 45.0, 22.0, 10.0, 44.0, 43.0, 39.0, 24.0, 18.0, 27.0, 51.0, 56.0, 37.0, 38.0, 29.0, 38.0, 22.0, 50.0, 31.0, 37.0, 45.0, 12.0, 53.0, 48.0, 28.0, 37.0, 32.0, 29.0, 48.0, 48.0, 48.0, 8.0, 26.0, 50.0, 50.0, 12.0, 40.0, 48.0, 39.0, 12.0, 35.0, 16.0, 46.0, 30.0, 37.0, 17.0, 51.0, 46.0, 34.0, 36.0, 48.0, 56.0, 15.0, 35.0, 40.0, 2.0, 21.0, 8.0, -16.0, 16.0]","[15, 31, 15, 9, 30, 31, 33, 34, 27, 50, 12, 11, 15, 39, 43, 38, 21, 25, 28, 31, 9, 42, 22, 33, 29, 34, 31, 7, 20, 15, 35, 8, 22, 19, 13, 34, 24, 37, 24, 10, 24, 21, 44, 45, 11, 23, 16, 31, 59, 39, 15, 10, 18, 28, 26, 17, 33, 16, 24, 18, 21, 43, 24, 7, 27, 18, 12, 37, 7, 7, 7, 36, 29, 16, 27, 43, 15, 29, 16, 43, 20, 39, 20, 14, 29, 38, 26, 20, 21, 8, 7, 10, 51, 31, 26, 53, 34, 58, 60, 39]",0.09141696156041665,0.9187829674234225,0.03981171002314319,0.4915019038761578,0.0,0.064,502876.463,2.591,12348.673,6000,6000,40032,32,40032,5536,10,10.64,56.120000000000005,"[  0.6787679   -1.3256383  -10.270473    -0.17071629 -10.53409
 -10.637288   -10.9332485    0.83957195   0.57254505   0.34279895
   0.9720367  -10.818431     0.5150342    0.88089085   0.6473192
 -10.563738     0.69189703   0.74636316  -9.897533   -10.643201
 -10.071582     0.88089085  -9.994503     0.85115576  -8.844805
 -10.169087     0.80331826   0.83957195 -10.079413   -11.11496
 -11.040249     0.93410325]",0.0005000000237487257,-1.3952594,-2.2351072,1.1551951,-4.5597715
63.0,-27.0,31.36,27.16,36,0,7000,32,7000,False,252,7,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-34-59,1705948499,2.937591314315796,19.233044862747192,22860,shossain-Legion-5,10.226.80.58,19.233044862747192,224,7,"[42.0, 18.0, 31.0, 45.0, 53.0, 45.0, 22.0, 10.0, 44.0, 43.0, 39.0, 24.0, 18.0, 27.0, 51.0, 56.0, 37.0, 38.0, 29.0, 38.0, 22.0, 50.0, 31.0, 37.0, 45.0, 12.0, 53.0, 48.0, 28.0, 37.0, 32.0, 29.0, 48.0, 48.0, 48.0, 8.0, 26.0, 50.0, 50.0, 12.0, 40.0, 48.0, 39.0, 12.0, 35.0, 16.0, 46.0, 30.0, 37.0, 17.0, 51.0, 46.0, 34.0, 36.0, 48.0, 56.0, 15.0, 35.0, 40.0, 2.0, 21.0, 8.0, -16.0, 16.0, -16.0, 12.0, 18.0, 42.0, 21.0, 38.0, 39.0, 23.0, 4.0, 44.0, 45.0, 43.0, 57.0, 37.0, 32.0, 24.0, 36.0, 38.0, 45.0, -16.0, 39.0, -5.0, 60.0, 46.0, 19.0, 28.0, 27.0, -27.0, 31.0, 28.0, 33.0, 63.0, 10.0, 32.0, 40.0, 10.0]","[24, 37, 24, 10, 24, 21, 44, 45, 11, 23, 16, 31, 59, 39, 15, 10, 18, 28, 26, 17, 33, 16, 24, 18, 21, 43, 24, 7, 27, 18, 12, 37, 7, 7, 7, 36, 29, 16, 27, 43, 15, 29, 16, 43, 20, 39, 20, 14, 29, 38, 26, 20, 21, 8, 7, 10, 51, 31, 26, 53, 34, 58, 60, 39, 60, 43, 37, 13, 23, 28, 27, 32, 51, 11, 10, 12, 20, 18, 23, 31, 19, 6, 10, 60, 16, 60, 17, 9, 36, 38, 50, 60, 24, 27, 22, 14, 45, 23, 4, 56]",0.09201452913652484,0.9206551385148609,0.04003543733619748,0.4960397300797917,0.0,0.065,496000.473,2.454,13042.117,7000,7000,48032,32,48032,6544,12,9.825,56.125,"[ -0.61858225  -9.906955    -8.556629    -8.4766865  -11.095873
   1.1306337    0.2952687  -10.846996    -8.715176     0.5432553
 -11.213317   -10.899504   -11.318704     2.1179633  -10.828966
 -12.020774    -8.597034     2.1179633    1.9961452    0.83889294
 -11.095873     1.9961452   -7.911491     1.9961452  -11.065894
   1.5127141   -7.911491    -8.664607   -10.846996     2.1179633
   0.2952687   -0.31339478]",0.0005000000237487257,-0.63751096,-3.4239721,2.088509,-5.1233306
63.0,-38.0,25.79,30.31,26,0,8000,32,8000,False,278,8,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-35-02,1705948502,2.9727792739868164,22.20582413673401,22860,shossain-Legion-5,10.226.80.58,22.20582413673401,256,8,"[53.0, 48.0, 28.0, 37.0, 32.0, 29.0, 48.0, 48.0, 48.0, 8.0, 26.0, 50.0, 50.0, 12.0, 40.0, 48.0, 39.0, 12.0, 35.0, 16.0, 46.0, 30.0, 37.0, 17.0, 51.0, 46.0, 34.0, 36.0, 48.0, 56.0, 15.0, 35.0, 40.0, 2.0, 21.0, 8.0, -16.0, 16.0, -16.0, 12.0, 18.0, 42.0, 21.0, 38.0, 39.0, 23.0, 4.0, 44.0, 45.0, 43.0, 57.0, 37.0, 32.0, 24.0, 36.0, 38.0, 45.0, -16.0, 39.0, -5.0, 60.0, 46.0, 19.0, 28.0, 27.0, -27.0, 31.0, 28.0, 33.0, 63.0, 10.0, 32.0, 40.0, 10.0, 1.0, 15.0, 50.0, 19.0, 17.0, -38.0, -27.0, -16.0, 56.0, 16.0, 50.0, 42.0, 29.0, 22.0, 16.0, 39.0, -27.0, -16.0, -27.0, -38.0, 8.0, 32.0, 56.0, 48.0, -27.0, 50.0]","[24, 7, 27, 18, 12, 37, 7, 7, 7, 36, 29, 16, 27, 43, 15, 29, 16, 43, 20, 39, 20, 14, 29, 38, 26, 20, 21, 8, 7, 10, 51, 31, 26, 53, 34, 58, 60, 39, 60, 43, 37, 13, 23, 28, 27, 32, 51, 11, 10, 12, 20, 18, 23, 31, 19, 6, 10, 60, 16, 60, 17, 9, 36, 38, 50, 60, 24, 27, 22, 14, 45, 23, 4, 56, 54, 29, 5, 36, 38, 60, 60, 60, 10, 50, 5, 24, 37, 44, 39, 16, 60, 60, 60, 60, 47, 45, 21, 7, 60, 5]",0.09235475668597017,0.9224150095334847,0.040226315768299506,0.4999339896223606,0.0,0.062,513850.413,2.796,11446.458,8000,8000,56032,32,56032,7552,14,11.174999999999999,56.075,"[-10.794587     1.3818324   -1.0634845    0.6909071   -0.87029916
  -1.0091743  -11.150728   -11.304202     1.1292626    1.2708066
   1.2708066  -12.036932   -10.794587   -12.053524    -7.117349
   0.6152326    1.2595849   -5.857693     1.0334144    0.6834457
 -10.743948   -11.920818     0.7358768    0.8348952    1.017853
  -7.0816507    0.8978076    0.5345826  -10.306845    -0.7288463
  -7.117349     0.47543883]",0.0005000000237487257,-0.13000575,-3.3028226,4.142307,-3.6912584
65.0,-49.0,25.43,29.35,40,0,9000,32,9000,False,318,9,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-35-05,1705948505,3.0386064052581787,25.244430541992188,22860,shossain-Legion-5,10.226.80.58,25.244430541992188,288,9,"[18.0, 42.0, 21.0, 38.0, 39.0, 23.0, 4.0, 44.0, 45.0, 43.0, 57.0, 37.0, 32.0, 24.0, 36.0, 38.0, 45.0, -16.0, 39.0, -5.0, 60.0, 46.0, 19.0, 28.0, 27.0, -27.0, 31.0, 28.0, 33.0, 63.0, 10.0, 32.0, 40.0, 10.0, 1.0, 15.0, 50.0, 19.0, 17.0, -38.0, -27.0, -16.0, 56.0, 16.0, 50.0, 42.0, 29.0, 22.0, 16.0, 39.0, -27.0, -16.0, -27.0, -38.0, 8.0, 32.0, 56.0, 48.0, -27.0, 50.0, 27.0, 35.0, 59.0, 44.0, 50.0, 39.0, 60.0, 54.0, 42.0, 42.0, 43.0, 50.0, 48.0, -38.0, 29.0, 33.0, -27.0, 43.0, 65.0, 43.0, 56.0, 49.0, 24.0, 16.0, -38.0, 38.0, -27.0, 43.0, 28.0, 49.0, 50.0, 19.0, -49.0, -38.0, 35.0, 50.0, 36.0, 35.0, 24.0, 48.0]","[37, 13, 23, 28, 27, 32, 51, 11, 10, 12, 20, 18, 23, 31, 19, 6, 10, 60, 16, 60, 17, 9, 36, 38, 50, 60, 24, 27, 22, 14, 45, 23, 4, 56, 54, 29, 5, 36, 38, 60, 60, 60, 10, 50, 5, 24, 37, 44, 39, 16, 60, 60, 60, 60, 47, 45, 21, 7, 60, 5, 39, 42, 7, 11, 5, 27, 17, 12, 24, 13, 12, 5, 7, 60, 15, 22, 60, 12, 12, 12, 21, 6, 42, 39, 60, 17, 60, 45, 27, 6, 5, 47, 60, 60, 31, 5, 19, 9, 31, 7]",0.09267166670068144,0.9241801415167606,0.04039114794226314,0.5052112390631233,0.0,0.066,486825.274,2.827,11318.367,9000,9000,64032,32,64032,8560,16,10.520000000000001,56.02,"[ -9.038286    -8.83657     -3.3540697  -15.096222    -3.0829368
 -12.262658     0.6761055    0.64803433  -1.821856   -10.754744
  -9.585411    -5.4239902  -10.572809     1.2649503  -11.168282
 -14.042559    -9.038286    -2.2974813    0.85199463 -13.312397
   0.69975805   1.5602405  -15.096222     0.68528175   0.43761522
 -12.523259     1.241733   -13.034163     1.0266811    1.0266811
  -5.214054     1.0245328 ]",0.0005000000237487257,0.60496324,-3.0559583,6.6459303,-5.450395
65.0,-60.0,20.8,31.56,27,0,10000,32,10000,False,345,10,default,21cad53ea4974c108ba36a905bd03e2b,2024-01-22_13-35-09,1705948509,3.407212734222412,28.6516432762146,22860,shossain-Legion-5,10.226.80.58,28.6516432762146,320,10,"[28.0, 33.0, 63.0, 10.0, 32.0, 40.0, 10.0, 1.0, 15.0, 50.0, 19.0, 17.0, -38.0, -27.0, -16.0, 56.0, 16.0, 50.0, 42.0, 29.0, 22.0, 16.0, 39.0, -27.0, -16.0, -27.0, -38.0, 8.0, 32.0, 56.0, 48.0, -27.0, 50.0, 27.0, 35.0, 59.0, 44.0, 50.0, 39.0, 60.0, 54.0, 42.0, 42.0, 43.0, 50.0, 48.0, -38.0, 29.0, 33.0, -27.0, 43.0, 65.0, 43.0, 56.0, 49.0, 24.0, 16.0, -38.0, 38.0, -27.0, 43.0, 28.0, 49.0, 50.0, 19.0, -49.0, -38.0, 35.0, 50.0, 36.0, 35.0, 24.0, 48.0, 49.0, 50.0, 50.0, 40.0, 23.0, -60.0, 25.0, 49.0, 50.0, 33.0, 10.0, 22.0, -49.0, 49.0, -49.0, -16.0, -27.0, 59.0, 44.0, 36.0, -38.0, -3.0, -38.0, 16.0, 36.0, 13.0, -49.0]","[27, 22, 14, 45, 23, 4, 56, 54, 29, 5, 36, 38, 60, 60, 60, 10, 50, 5, 24, 37, 44, 39, 16, 60, 60, 60, 60, 47, 45, 21, 7, 60, 5, 39, 42, 7, 11, 5, 27, 17, 12, 24, 13, 12, 5, 7, 60, 15, 22, 60, 12, 12, 12, 21, 6, 42, 39, 60, 17, 60, 45, 27, 6, 5, 47, 60, 60, 31, 5, 19, 9, 31, 7, 17, 5, 5, 15, 32, 60, 41, 6, 5, 44, 56, 33, 60, 6, 60, 60, 60, 7, 11, 19, 60, 58, 60, 39, 41, 42, 60]",0.09292168923094028,0.9259308736301927,0.04052439801742839,0.5085677278158306,0.0,0.066,484016.329,2.514,12730.265,10000,10000,72032,32,72032,9568,18,9.825,56.0,"[-11.371334    -1.4495642    0.649415     0.41178584 -14.099178
   0.8787676    0.649415     0.13010311   1.1866548    0.649415
   0.649415     0.42682838   0.13690066   0.63936067 -10.071228
 -12.577515     1.1866548  -10.883129     0.42663777   1.1866548
   0.910854     1.1866548   -7.327957    -0.4148128    4.6771708
 -14.099178    -1.1180375  -10.559672    -3.113021    -3.113021
 -15.518238   -10.576343  ]",0.0005000000237487257,-0.5968445,-3.9366746,6.886979,-3.4471734
